Esiliiga, 10th
Serie D, 10th
I-League, 8th of 13
Men: 2nd
Liga 2/1st round (Group C), 5th
NPSL National Runner Up
Central League, 8th of 10
Nigeria Professional Football League, 9th of 20
–
Jordanian Pro League, 10th of 12
Primera Nacional Zone B, 13th
CPD, 13th of 16
Eccellenza Molise, 3rd
U-19: Group D, 8th
'
Maltese First Division, 1st
-
relegated
Serie D/B, 15th
/
1
Yemeni 2nd Division, 1st
2
3
4
5
left
Eskişehir Super Amateur League, 2nd
6
MS League, 19th of 20
7
8
9
Slovenian Second League, 13th of 16
Liga 2 (Indonesia)
?
Paraense 2nd Division, 15th of 23
NB III, East, 12th
Primera Nacional Zone B, 6th
Football League, 16th
TFF Third League, Group 1, 16th
Iraq Division Three, 1st in Baghdad Group 2
Tercera División – Group 1, 18th
Second Division, 3rd
Paulistão A3, 4th of 16
Second Division Group B, 9th
Russian Professional Football League
Belgrade First League, 8th of 16
Thai League 1, 1st
Gwynedd League, 14th
Western Confederation Super League, 1st
Serie D/B, 7th
NAFL Division 1A, 1st
Eliteserien, 3rd of 16
Ligue 2, Group Centre-east, 12th
Ligas Departamentales del Peru
Group stage
División de Plata, 14th
Liga Națională, 10th
Playoffs: Did Not Qualify
Liga IV, Sibiu County, 1st
LNH Division 1, 10th of 16
Eliminated in District Stage
Primera Divisió, 3rd
Slovenian PrvaLiga, 1st of 10
Macedonian Super League,
National 3 Group L, 14th
Slovenian Second League, 7th of 16
Brasiliense, 2nd of 10
Tajikistan Higher League, 3rd of 10
Superleague, 7
Thai League 3, 13th of 14 in the Bangkok metropolitan region
Group B, 11th
Primera Autonómica, 5th of 6
Division 3 Nordvästra Götaland, 5th
Kakkonen Group C – 5th
Regular Season: 2nd, NASL
South Series, 3rd
Primera B, 7th of 16
Third Division / 8, 4th
Singapore Premier League, 5th of 8
Championship Group: 5th
Division 3 Södra Norrland, 8th
Premier League 11th of 13
First League of FBiH, 14th
Second League, 9th of 16
Hellenic Football League Division One East, 3rd
Regional Preferente, 14th
Belgian First Division A, 2nd
Campeonato Nacional de Rugby I Divisão, winners
Eccellenza Sicily Group B, 1st of 15
Nemzeti Bajnokság I, 14th
Play Offs; Quarter Final:
Liga I, 8th
Denmark Series Group 1, 3rd
Primera División, 8th of 16
°
Thai League 3, 3rd of 13 in the Northeastern region
Eastern Conference: 5th
Série D, 16th of 64
Spring: 4th
Eliminated in Departmental Stage
Linafoot, 7th of 20
Belgian Division 2, 5th of 16
Segunda División, 7th, ↑
National 3 Group M, 1st
South-West Third League, 16th
North Riding League Premier Division, 1st of 14
National 2 Group D, 15th
Superliga Femenina, 9th Place
Regular Season: 3rd,
NB III, East, 3rd
Serie D, 7th
Second stage
Liga III, Seria X, 2nd
Primeira Liga, 6th of 18
Second League RS - East, 3rd
Nemzeti Bajnokság I, 2nd of 14
Eccellenza Veneto/B, 1st
Essex Alliance League Senior Division, 1st of 13
Division One, 17th
Segunda División, 14th
North-Eastern V Group, 11th
Women: 4. divisjon Trøndelag avd. 4 , 5th
Botola 2, 1th
V.League 2, 10th of 12
FootballSouth Premier League, 8th of 10
Ukrainian Premier League, 3rd
UPSL Fall: 5th, Midwest East Division
La Liga, 20th of 20
Serie D/C, 13th
Eccellenza Piedmont and Aosta Valley/B, 3rd
FNL, 19th
Republican Freshman Leader
Chinese Super League, 5th of 16
Segunda División, 14th of 22
Mineiro, 8th
Gamma Ethniki , 11th relegated
Regional Preferente, 5th
Eccellenza, 6th
NB III, 8th of 20
Overall: 4th
Welsh Football League Division One, 8th
European Rugby Challenge Cup
Division 4 Göteborg B, 4th
UAE Pro League, 6th
Women: 9th
Iraq Division One, 27th of 28
NRFL Division 1, 5th of 12
Upper Carniolan League, 4th
QSL league , 7th of 8
United Counties Football League
CFA 2 Group D, 12th
Serbian League Belgrade, 20th of 20
National 2 Group D, 7th
League One, 8th of 18
Preferente, 4th
Denmark Series Group 4, 10th
Cariocão Série A, 3rd of 12
top
National 3 Group M, 9th
Série B, 13th of 20
Promozione group A, 16th
Serbian SuperLiga, 13th
Preferente Autonómica , 7th
Serie D/C, 9th
La Liga, 17th of 20
Liga 1, 10th of 18
Midland League Division One, 6th
Serie D/F, 17th
NRF Championship, 5th of 8
2.0
Belgian National Division 1, 14th of 15
League Two, 13th of 24
Zone Center, 5th
Gamma Ethniki , 13th, Relegated
Serbian SuperLiga, 2nd of 16
Botola, 15th
Handball Premier,  11th
Belgian Fourth Division A, 9th
Liga 1, 16th
Catarinense, 8th
Serie D/E, 18th
Regular Season: 1st, AtlanticPlayoffs: Divisional Finals
Campeonato Tocantinense Second Division 5th of 5
Playoffs: League Final
Overall: 17th
Women's Premier Soccer League, 1st
Thai League 2, 3rd
Russian Premier League, 7th of 16
Meistriliiga, 2nd
WK League, 6th
Under-18s: 14th
Qatar Stars League, 1st
Capital Premier, 8th of 10
Southern League Premier Division, resigned
Group stage, 3rd
Série A, 6th of 20
NAFL Premier Division, 11th
Kazakhstan Premier League, 13th of 14
Second League , 4th
Liga 2/1st round (Group D), 3rd
V.League 2, 8th of 12
Eredivisie, 9th of 18
Serie D/A, 17th
Runner Up
Derde Divisie Sunday, 8th
First Division, 12th
season curtailed Covid.
Division 4 Västmanland, 1st
KTFF Süper Lig, 9th
Ukrainian First League, 14th of 16
Divizia A, Seria A, 2nd
Liga 2, 4th
Egyptian Premier League, 8th
Third League North, 1st
Premier League BH, 10th
Division 3 Mellersta Götaland, 1st
Liga I, 10th of 16
Treća HNL West, 13th
PASL – Rocky Mountains Conference: 1st
Regional Preferente de Sevilla, 15th
Topdivisie, champion
Ligue Nationale du Football Amateur, Group West, 10th
Primera Nacional Zone A, 4th
Segona Divisió
Deputy Majority Whips
Torneo Federal A Zone A,5th
Ettan Södra, 13th of 16
Armenian Premier League, 7th
Division 3 Västra Svealand, 8th
Primera B, 16th of 16
Lebanese Women's Football League, 6th of 8
Mainland Premier League, 7th of 8
Regular phase: 5th
FDL, 20th of 20
BPL, 8th of 12
UAE Pro League, 12th
Second League, 2nd
TFF Third League, Group 3, 8th
Armenian First League, 1 of 10
Bahraini Premier League, 5th
League, 1st; Playoffs, Champions
Serie B, 13th of 22
Danish 1st Division, 7th
Gamma Ethniki, 7th
Montenegrin Second League, 5th
Joint Majority Caucus Leader
Liga 1, 16th of 18
Ligue 2, Group Centre-west, 4th
Eccellenza Emilia-Romagna/B, 1st
Swiss Super League, 7th of 10
Liga ASOBAL, 15th
Regionalliga , 1st
Primeira Liga, 1st of 18
División Intermedia, 14th of 18
Northeast Region, Mid-Atlantic Conference
Persian Gulf Pro League, 15th
Rugby-Bundesliga North/East, 4th
Eccellenza/C, 14th
Belgian First Division B, 5th
Deputy Minority Leaders
Arthurian League Premier Division, 3rd of 10
Hessenliga , 1st
Primera Nacional Champion
Macedonian Third League , 1st
Paulistão 2ª Divisão, 7th of 36
Liga Naţională, 3rd of 14
Serie D/I, 11th
UAE Pro League, 13th of 14
Premier League BH, 3rd
Serie D/D, 11th
Liga I, 16th of 16
Regular phase: 2nd Final phase: Semifinals
Maltese Futsal League,  and
Liga IV, Prahova County, 17th
Baiano, 5th of 10
Azadegan League Group 1, 12th
Liga Națională, 13th of 14
Isthmian LeagueDivision One North, resigned
Ligue Professionnelle 1, 1st
Canadian Premier League, 3rd
Liga IV, Vâlcea County, 10th
Football Federation League, Champions
Ligue Haïtienne, 18th
Regular season: 6th
Malaysia Premier League, 12th
Liga Okręgowa (group: Kraków I), 4th
WE League, 5th of 11
Dropped out
Iraqi Premier League, 19th of 20
K4 League, 7th
Montenegrin First League, 3rd
Maltese Premier League, 7th
Primera División, 12th of 16
NB I, 11th of 12
Serbian League Vojvodina, 6th of 16
Promotion play-offs, First Round
Second League, 17th
División de Honor, 17th
Football League, 20th
Preferente Autonómica – Group 1, 4th of 15
National Division, 16th
Divisão de Honra, A.F. Porto, 5th
Tocantinense, 1st of 10
National 3 Group H, promoted
Jordanian Pro League, 8th of 12
Second round, 4th
División de Honor B – Group B, 9th
Promoted to Division Two
Liga 1, 2nd of 18
Superliga,  /
Eliteserien, 10th of 16
Pernambucano, 1st of 10
Austrian Bundesliga, 10th of 12
KLFA Super League  Champions
Série C, 11th of 20
Sul-Mato-Grossense, 7th of 10
Lega Pro Seconda Divisione/B, 12th
Grupo Centro Occidente A, 6th
PLSQ, 9th
Russian Premier League, 10th of 16
Liga Indonesia First Division/1st round (West region), 5th
Iraq Division One, 4th of 24
Eccellenza Sicily/A, 9th
División Profesional, 15th
Belgian Division 3 VFV A, 7th of 12
1951
Playoffs: Semi-finals
Iraqi Premier League, 9th of 20
PLSQ-F, 2nd
Playoffs: Division Semis
Third Division/ 2, 5th
Hoofdklasse Sunday B, 1st
Challenge Group: 5th
Division 4 Södermanland
Carioca, 6th
Third Division group 4, 4th of 14
NB II, 1st of 20
NB II, 5th of 20
PLSQ, 11th
Pro League, 10th of 16
Liga 2, Champions
Denmark Series – Group 4, 7th of 10
Division 2 Norra Götaland, 5th
Promozione/B, 10th
Tweede Klasse: Cancelled
Oberliga Hamburg , 17th
n/a
Iraqi Premier League, 3rd
Serie A1 (Futsal), Champion
Bayernliga Nord, 6th of 18
National 3 Group J, 2nd
CPD, 2nd of 16
Thai League 3, champions of the national championship
MB I, Nógrád, 1st
Combined: 2nd
Jutland Series Group 1, 6th
League, 15th; Playoffs, DNQ
Treća HNL South, 13th
Division 4 Norrbotten Södra, 3rd
Liga IV, Argeș County, 2nd
Russian Premier League 14th of 16, relegated through play-offs
Eliminated in Regional Round
Handball-Bundesliga, 9th of 18
Southern League Premier Division, 17th
(Reg. Preferente Valenciana – Group 2), 17th
Denmark Series, Group 1, 4th
Prima Categoria Veneto/G 11th
Vojvodina League East, 4th
Landesliga Bayern-Nordwest , 8th
Slovenian PrvaLiga, 5th of 10
National 2 Group C, 5th
Slovak Super Liga, 3rd of 12
Division Two, 2/13
Belgian Second Amateur Division B
Qatar Stars League, 6th of 12
Série B, 1st of 20
Paranaense, 1st of 12
Paulistão A3, 15th
Thai League 3, 12th of 13 in the Southern region
Sul-Mato-Grossense Série B, 5th of 8
Série D, 53rd of 64
Finals: DNQ
Primera Provincial de Palencia, 3rd
South-East Third League, 4th
División de Plata,
Prima Divisione CCI - Campania, 3rd
None
Iraq Division One, 12th of 24
Liga Nacional, 10th
Gamma Ethniki , 2nd
Premier Division, 13th
Prima Categoria Liguria/D, 1st
Alagoano 2ª Divisão, 4th of 10
Maltese Challenge League
Liga 3, eliminated in regional round
K League 1, 1st of 12
Super League, 14th
Promozione, 6th
Premier League, 6/13
TBA
(Preferente Autonómica – Group Norte), 4th
TBC
Norwegian Fifth Division, 2nd of 10
Segunda Autonómica – Group 8, 4th
TBD
Serie A, 16th
Mineiro 2ª Divisão, 7th
Håndboldligaen, 5th of 14
Division 3 Norra Norrland, 8th
Ljubljana Regional League, 3rd
Promozione Friuli Venezia Giulia Group B, 5th of 16
Baiano, 1st
Liga Naţională, 5th
Division 2 Féminine
FDL, 8th of 20
Amazonense, 3rd of 12
National Division 1, 6th of 15
MNZ Ljubljana League, 5th
Régional 1 Pool B, 1st
Mineiro, 3rd of 12
Third League, 5th
National Amateur League, Group B, 1st
Serie D/B, 20th
Uzbekistan Super League, 5th of 14
Superettan, 4th
ODT Womens Southern Premiership, 6th
Glo Premier League, 16th
Denmark Series – Group 2, 8th of 10
Malaysia Super League, 1st
Qatar Stars League, 11th of 12
Serbian First League, 2nd of 16
Régional 1 Centre-Val de Loire, 1st
Thai League 3, 8th of 13 in the Northeastern region
Segunda División Extremeña, 4th
Mongolian National Premier League, 2nd of 10
Ligue 2, Group Centre-west, 16th
Runners up
Liga 3, eliminated in provinsial stage play-off round
Thai League 3, 1st of 13 in the Northeastern region
First League of FBiH, 2nd
Bulgarian Championship, 1st
Bhutan Premier League, 3rd of 10
Championnat National, 16th of 18
Annulled due to the COVID-19 pandemic
Série C, 6th of 20
Sub-17, 1st of 20
B Division
Promozione Lombardy/G, 1st
Football League, 15th
Fortuna národní liga, 1st of 16
Maltese Challenge League, Group A, 6th
Ukrainian Second League, Group A, 1st
Eccellenza Emilia–Romagna B, 16th
Third League , 5th
Israeli Handball Premier League, 12th
Liga III, Seria III, 6th
NIFL Championship, 8th
Série D, 16th
Série C, 12th of 20
FDL, 10th of 20
Group 1, 16th, Relegated
II liiga North/East 1st
League One, 11th of 18
Ligue 2, Group Centre-east, 11th
Denmark Series Group 3, 3rd of 10
Regular phase: 6th
Nemzeti Bajnokság I - 14 th
Division 3 Sydvästra Götaland, 8th
Etapa Distrital
Division of Honour, 7th
Promozione Lazio B, 1st
Division 4 Sydvästra Småland
Second League, 3rd
Pref. Aragón, 1st
Division 4 Göteborg A, 3rd
Liga I, 11th of 16
División de Plata , 2nd
PFL Pančevo, 7th of 16
Postseason: Did not qualify
Primera División B Metropolitana, 9th
Division Two, 13th
Liga Națională, 8th
Promoted
Second Division, 4th
Liga V, Timiș County, 13th
Liga 2/1st round (Group C), 4th
Serie C/C, 13th
La Liga, 10th of 20
Conference: 1st
Northern Amateur Football League Premier Division, 7th
Slovenian PrvaLiga, 2nd of 10
Democratic Conference Chairs
Serbian First League, 14th
National Division 1, 11th of 15
Pro League, 2nd of 16
A OFG, 9th
Group D - Metro Sur
National 2 Group B, 3rd
Macedonian Second League, 9th
Withdrew
right
Denmark Series – Group 4, 2nd of 10
K League 1, 6th of 12
Landesliga Bayern-Südwest , 1st
Acreano, 8th
Derde Divisie , 4th
Division d'Honneur de Nord-Pas-de-Calais
Russian Premier League, 15th of 16
Pakistan Premier League, 12th of 16
Ukrainian Premier League, 11th
AF Porto Divisão de Elite - Pro-nacional Série 4, 4th
First League, 14th of 14
Club Champions
Third League, 16th
East Midlands Counties League, 8th
Serie B, 2nd of 10
Premier Division, 3rd of 10
Segona Divisió, 8th
Joint Caucus Leader
Primera Nacional Zone B, 7th
NB III, Centre, 3rd
Liga Portugal 2, winners of 18
League of Ireland First Division, 6th
Serbian League West, 11th
NRFL Division 1, 1st of 12
Dhivehi League, 2nd Division
Division 4 Stockholm Södra, 3rd
Eccellenza Umbria, 3rd
Treća HNL West, 7th
Seconda Categoria Liguria/F, 14th
LNH Division 1, 6th of 16
Auvergne Division d’Honneur
National 3 Group L, 13th
Série B, 18th of 20
Rugby-Regionalliga North
Divizia A, Seria B, 3rd
Promozione Campania, 4th
NB III, East, 4th
Campeonato Brasileiro Série D, eliminated in the quarterfinals
Belgian First Division B, 8th of 8
Serie D/G, 16th
Oberliga Westfalen, 12th
Regional Preferente, 4th
Série A, 7th of 20
Campeonato Carioca
Derde Klasse Sunday B, 14th
Liga okręgowa Gdańsk I, 10th of 18
Serie A, 7th of 12
National 3 Group E, 8th
Withdraw
Håndboldligaen, 3rd of 15
Persian Gulf Pro League, 4th
Lega Pro/C, 17th
Série C, 20th of 20
TBD, Nortwest Division
Austrian Bundesliga, 11th of 12
Madeira FA First Division, 1st
Preferente – Group 2, 1st of 20
Paulistão 2ª Divisão, 13th of 36
Acreano, 5th of 11
Heineken Cup
Série D, 6th of 64
Campeonato de Portugal Serie A, 8th
Serbian League West, 9th
Ekstraklasa, 18th of 18
National 3 Group M, 8th
Liga IV, Prahova County, 4th
CFA Group C, 18th
Sul-Mato-Grossense, 12th of 12
Eccellenza, 10th
Serbian SuperLiga, 14th
Primeira Liga, 7th of 18
Segunda Divisão, 9th
Divizia A, 9th of 14
Regionalliga West, 17th
Serie D/C, 8th
Peruvian Segunda División, 5th
Spartan South Midlands League Premier Division, 17th of 23
Super League Greece 2, 12th
3.0
Playoffs: DNQ
20184
Carioca Série B2, 1st of 17
Ligue Professionnelle 1, 15th
V.League 1, 11th of 13
V.League 1 ,13th of 13
Division 3 Mellersta Norrland, 4th
Catarinense, 7th
Second League , 5th
Divize C, 1st
Liga 1, 6th of 18
Regular phase: 1st, Group II
II liga, 7th of 18
First League of RS, 10th
Group 4, 16th, Relegated
Upper Carniolan League, 3rd
Treća HNL – West, 10th
NIFL Premier Intermediate League, 8th
Bahraini Premier League, 6th of 10
First League of FBiH, 15th
Serbian First League, 7th of 16
Montenegrin First League, 2nd
Goianão, 6th of 12
Regular Season: 1st, Valley Conference
Liga I, 11th
TNM Super League, 5th of 16
North Conference: 2nd
Landesliga Bayern , 5th
Série D, 47th
Liga I, 8th of 16
Czech League: 1st
V Group, 12th
Premier League BH, 11th
Belgian First Division B, 3rd
Austrian Second League, 13th
Série D, 1st of 64
División Intermedia, 13th of 18
Serbian League East
Segunda de Aficionados, 5th
Serie D/A, 16th
pattern_la1=
Eccellenza Campania/A, 1st
Minority Whips
--
Pomurska League, 16th
-1
Playoffs: Semifinal
Eccellenza group A
Eccellenza Toscana/A, 2nd
Assistant Minority Leader
Liga 3, National round, 3rd in Group F
Ballymena & Provincial Football League, 10th
Primera Andaluza, Group 6, 11th
National 3 Group A, 7th
Overall: 16th
Azadegan League  18th
Overall: 5th
Segunda División, 15th of 22
Playoffs
First League, 7th
Paraense, 7th of 12
Paulistão 2ª Divisão, 19th of 36
Campeonato de Portugal Serie B, 4th
Gauchão, 3rd of 12
Champions
Prva HNLŽ, 3rd
Eccellenza Sicily/A, 11th
Men: 1st
Division 2 Östra Götaland, 12th
Serie D/D, 4th
Ljubljana Regional League, 16th
Liga III, Seria II, 8th
Playoffs: 1st Round
Kazakhstan Premier League 14th of 14
Division 2 Östra Götaland, 6th
Championnat National, 9th
Majority Caucus Leader
Azadegan League, 3rd
Primera División, 7th of 16
Division 1 Södra, 10th
Elite One, 17th
Alagoano, 9th of 9
Denmark Series – Group 2, 7th of 10
Fourth Division / Agder, 4th
10
11
12
13
14
15
16
17
18
19
Liga Nacional, 9th
Kategoria e Dytë, Group B, 2nd
Liga Superior de Lambayeque, 7th
Bohemian Football League, 2nd
Conference National, 7th
Pomurska League, 4th
Premier League, 3rd
Fall: 6th
Regular season: 5th
20
21
Superliga, 1st of 12
22
24
26
27
FFV State League 4 West, 3rd of 8
28
NB III, Centre, 13th
División de Plata, 4th
(Regional Preferente – Group 4), (16th – relegated)
Gamma Ethniki, 8th
Play-offs: 2nd
Second League of FBiH , 11th
Sachsenliga , 11th
Athens A Local, 1st
Qatar Stars League, 2nd of 12
Oberliga Rheinland-Pfalz/Saar , 18th
Serie A, 2nd of 12
Liga 1 Putri, 3rd in group stage
Eliminated in first stage
Nemzeti Bajnokság I, 4th
Primera B, 2nd of 16
Série C, 17th of 20
V.League 1, 12th of 13
Handball-Bundesliga, 8th of 18
Division 5 Norra, 3rd of 12
Ettan Södra, 1st of 16
Champion of Liga Correntina de Fútbol
MB I, Zala, 1st
Iraqi Premier League, 19th
Super League, 15th of 16
South-East Third League, 14th
Last
Toppserien, 2nd of 10
Paranaense, 7th
Challenge Group: 4th
Paulista A2, 14th of 16
Serie D/F, 16th
Carioca, 2nd of 12
Iraq Division One, 13th of 24
Second Division, 7th of 14
FUFA Big League, promoted
Prima Categoria/A, suspended
Football League 2  13th
Série C, 1st of 20
FNL 2, Group 2, 12th
Nemzeti Bajnokság I, 11th of 14
Premier League BH, 2nd
Promoted from Midlands 5 West (South)
Derde Divisie Saturday, 7th
WPS, 3rd
Secretary
Division 1 Norra, 15th
Group A, 2nd of 9
Liga I, 9th of 16
Southern League, 3rd of 10
Semi-finalist
Tweede Divisie, 18th, relagated
NAFL Division 1B, 11th
FDL, 9th of 20
Liga IV, Neamț County, 8th
Moçambola, 12th
Primera División, 12th
U-18: Quarter-finals
Second League, 16th
División de Honor, 18th
Montenegrin Second League, 4th
Promoted from Martinique Promotion d'Honneur
Play-out: 11th
League, 6th; Playoffs, QF
Alagoano 2ª Divisão, 10th of 10
First League of FBiH, 9th
National Division, 2nd
Slovenian Second League, 2nd of 16
Catarinense Série B, 2nd
First Division, 6th
Macedonian Third League , 10th
Régional 1 Bourgogne-Franche-Comté, Group B, 1st
Neath Premier League, 2nd
IV liga Greater Poland, 13th of 16
Eccellenza Tuscany/A, 1st
Série D, 10th of 64
Jutland Series – Group 2, 1st of 8
Iraq Division One, 5th of 28
Uzbekistan Super League, 4th of 14
National 2 Group C, 4th
Iraq Division One, 5th of 24
Eccellenza, 8th of 14
Sul-Mato-Grossense, 6th of 10
Centre-right to Right-wing
Primera Regional – Group 3, 7th
Bromley & South London League Premier Division, 4th
Eccellenza Emilia-Romagna – B, 1st
Hoofdklasse Sunday B, 2nd
Premier Division, 8th
Ligue 2, Group Centre-west, 15th
Belgian National Division 1, 7th of 15
Premier Hockey League 3rd
NIFL Premiership, 3rd
Virsliga, 2nd of 10
Indonesia Super League, 6th in East Region
Preferente Autónomica, 15th
Serbian League West, 1st
Playoff: Semifinals
Started Friday
Northern Premier League Premier Division, 15th
Håndboldligaen, 4th of 15
Preferente Murcia, 5th
Russian Second Division, Zone Ural-Povolzhye, 3rd
Division 2 Södra Svealand, 11th
Amazonense, 7th of 9
Serie C, 5th
Division 3 Södra Norrland, 7th
Division 4 Värmland, 2nd
Division 1 Norra, 5th
Central League, 7th of 10
Final phase: Runner-up
PLSQ-M, 3rd
NB II, 19th of 20
Egyptian Second Division , 3rd
Ligue 2, Group Centre-east, 3rd
North-Eastern V Group, 13th
Ljubljana Regional League, 2nd
Division 2 Norra Svealand, 4th
(Regional Preferente, 2nd)
Thai League 1, 2nd
South-West Third League, 8th
Champion '14 / '15
Capixaba, 3rd of 10
TFF Third League, Group 1, 17th
Amapazão, 4th of 8
K3 League, 7th
National Amateur League, Group A, 7th
Superliga Masculina,
(Preferente Autonómica – Group South), 7th
League One, 17th of 18
UWS: 4th, PNY Division
Serie D/I, 12th
Malaysia Super League, 12th of 12
Champion, NSFUSA National Conference, Los Angeles, CA.
Group B - Occidente
Division 4 Örebro, 1st
Ethiopian Higher League
group 3
División de Honor – Group 1, 1st of 20
NB II, 4th of 20
Slovenian Second League, 8th of 16
Champion  6
Ligue Haïtienne, 17th
Did not play
Liga III, Seria V, 5th
Carioca, 11th
Paranaense, 4th of 12
Premier Division, 14th
Azadegan League, 10th
PLSQ-Female, 10th
Southern League Division One, 6/15
Kreisoberliga Westlausitz, 9th of 18
Speaker pro tempore
Iraq Division One, 1st of 24
Division Uno, 3th, Group A
Serie C , 8th
Série A, 15th of 20
Serie D/E, 6th
Macedonian Third League (Southwest), 15th
Regular: 12th
Serie A, 15th
Primera Nacional Zone B, 12th
Division 2 Norrland, 14th
Promotion d'Honneur , 6th
Copa do Brasil 1st
MNZ Ljubljana League, 4th
Division 3 Sydvästra Götaland, 7th
Serie D/H, 12th
Division 4 Halland, 8th
Serie D
Playoffs: Round of 16
Playoffs: Champions
Tocantinense, 2nd
Brasiliense, 7th of 10
Oberliga Nordost Süd, 1st of 19
Segunda División, 6th of 22
Promozione Sicily B, 1st
Polish Futsal League, 1st
Denmark Series Group 3, 9th of 10
Western Conference: 3rd
Amapazão, 9th of 10
Liga Națională, 5th of 14
Cheshire League Premier Division, 1st of 18
Eccellenza Basilicata, 1st
Primeira Liga, 12th of 18
Third League , 2nd
National 3 Group A, 8th
Higher League 1st of 12
Mongolian National Premier League, 5th of 10
Serie D/I, 18th
I Lyga , 11th
Série D, 39th
Division One South, 11th
LFA Second Division, 2nd of 14
Combined Counties League
Division One, 15th of 18
Ligue Haïtienne, 11th
Second League, 11th
NRF Championship, 1st of 8
North Wales Alliance League Division One 4th
South-West Third League, 18th
Macedonian Second League , 1st
Championnat de France Amateurs 2 Group A, 8th
División de Honor de Vizcaya, 18th
Malaysia Super League
Liga 3 (Indonesia)
Deputy Minority Whips
Majority Caucus Secretary
Iraq Division One, 21st of 24
Third League, 15th
OFS Veles, 4th
Austrian Bundesliga, 12th of 12
Midland Football Combination
NRFL Division 2, 9th of 10
Serie D/F, 2nd
Primera Regional, 8th
North West Counties League
Playoffs: Divisional Playoffs
Malaysia Super League, 8th of 12
I liga, 18th of 18
Playoffs: 3rd
Ligue Nationale du Football Amateur, Group West, 16th
Egyptian Premier League, 6th
Playoffs: Quarterfinal
A-Klasse , 3rd
Primera B, 1st
Campionato Nazionale Primavera, ?
Libyan Premier League, 13th
Pomurska League, 15th
Welsh Football League Third Division, 16th
Liga I, 2nd
Primera División, 10th of 16
Division 1 Södra, 9th
